,Name,Symbol,Currency,ISIN,Sector,ICB Code,Fact Sheet
0,ALK-Abelló B,ALK B,DKK,DK0060027142,Health Care,4500,
1,Alm. Brand,ALMB,DKK,DK0015250344,Financials,8500,
2,Ambu,AMBU B,DKK,DK0060946788,Health Care,4500,
3,Carlsberg A,CARL A,DKK,DK0010181676,Consumer Goods,3500,
4,Carlsberg B,CARL B,DKK,DK0010181759,Consumer Goods,3500,
5,Chr. Hansen Holding,CHR,DKK,DK0060227585,Health Care,4500,
6,Coloplast B,COLO B,DKK,DK0060448595,Health Care,4500,
7,Danske Bank,DANSKE,DKK,DK0010274414,Financials,8300,
8,Demant,DEMANT,DKK,DK0060738599,Health Care,4500,
9,DFDS,DFDS,DKK,DK0060655629,Industrials,2700,
10,Drilling Company of 1972,DRLCO,DKK,DK0061135753,Oil & Gas,0500,
11,DSV Panalpina,DSV,DKK,DK0060079531,Industrials,2700,
12,FLSmidth & Co.,FLS,DKK,DK0010234467,Industrials,2300,
13,G4S plc,G4S,DKK,GB00B01FLG62,Industrials,2700,
14,Genmab,GMAB,DKK,DK0010272202,Health Care,4500,
15,GN Store Nord,GN,DKK,DK0010272632,Health Care,4500,
16,ISS,ISS,DKK,DK0060542181,Industrials,2700,
17,Jeudan,JDAN,DKK,DK0061282464,Financials,8600,
18,Jyske Bank,JYSK,DKK,DK0010307958,Financials,8300,
19,Københavns Lufthavne,KBHL,DKK,DK0010201102,Industrials,2700,
20,Lundbeck,LUN,DKK,DK0010287234,Health Care,4500,
21,A.P. Møller - Mærsk A,MAERSK A,DKK,DK0010244425,Industrials,2700,
22,A.P. Møller - Mærsk B,MAERSK B,DKK,DK0010244508,Industrials,2700,
23,Nordea Bank Abp,NDA DK,DKK,FI4000297767,Financials,8300,
24,Netcompany Group,NETC,DKK,DK0060952919,Technology,9500,
25,Novo Nordisk B,NOVO B,DKK,DK0060534915,Health Care,4500,
26,Novozymes B,NZYM B,DKK,DK0060336014,Health Care,4500,
27,Ørsted,ORSTED,DKK,DK0060094928,Utilities,7500,
28,Össur,OSSR,DKK,IS0000000040,Health Care,4500,
29,Pandora,PNDORA,DKK,DK0060252690,Consumer Goods,3700,
30,Royal UNIBREW,RBREW,DKK,DK0060634707,Consumer Goods,3500,
31,Ringkjøbing Landbobank,RILBA,DKK,DK0060854669,Financials,8300,
32,Rockwool Int. A,ROCK A,DKK,DK0010219070,Industrials,2300,
33,Rockwool Int. B,ROCK B,DKK,DK0010219153,Industrials,2300,
34,Schouw & Co.,SCHO,DKK,DK0010253921,Industrials,2700,
35,SimCorp,SIM,DKK,DK0060495240,Technology,9500,
36,Spar Nord Bank,SPNO,DKK,DK0060036564,Financials,8300,
37,Scandinavian Tobacco Group,STG,DKK,DK0060696300,Consumer Goods,3700,
38,Sydbank,SYDB,DKK,DK0010311471,Financials,8300,
39,Topdanmark,TOP,DKK,DK0060477503,Financials,8500,
40,Tryg,TRYG,DKK,DK0060636678,Financials,8500,
41,Vestas Wind Systems,VWS,DKK,DK0010268606,Oil & Gas,0500,
42,Bavarian Nordic,BAVA,DKK,DK0015998017,Health Care,4500,
43,BankNordik,BNORDIK CSE,DKK,FO0000000088,Financials,8300,
44,Bang & Olufsen,BO,DKK,DK0010218429,Consumer Goods,3700,
45,ChemoMetec,CHEMM,DKK,DK0060055861,Health Care,4500,
46,Columbus,COLUM,DKK,DK0010268366,Technology,9500,
47,D/S Norden,DNORD,DKK,DK0060083210,Industrials,2700,
48,Brdr.Hartmann,HART,DKK,DK0010256197,Industrials,2700,
49,H+H International,HH,DKK,DK0015202451,Industrials,2300,
50,Jutlander Bank,JUTBK,DKK,DK0060050045,Financials,8300,
51,Lån og Spar Bank,LASP,DKK,DK0010201532,Financials,8300,
52,Matas,MATAS,DKK,DK0060497295,Consumer Services,5300,
53,NKT,NKT,DKK,DK0010287663,Industrials,2700,
54,Nilfisk Holding,NLFSK,DKK,DK0060907293,Industrials,2700,
55,NNIT,NNIT,DKK,DK0060580512,Technology,9500,
56,NTG Nordic Transport Group,NTG,DKK,DK0061141215,Industrials,2700,
57,Orphazyme,ORPHA,DKK,DK0060910917,Health Care,4500,
58,Per Aarsleff Holding B,PAAL B,DKK,DK0060700516,Industrials,2300,
59,RTX,RTX,DKK,DK0010267129,Technology,9500,
60,SAS,SAS DKK,DKK,SE0003366871,Consumer Services,5700,
61,Solar B,SOLAR B,DKK,DK0010274844,Industrials,2700,
62,SP Group,SPG,DKK,DK0061027356,Basic Materials,1300,
63,Sparekassen Sjælland-Fyn,SPKSJF,DKK,DK0060670776,Financials,8300,
64,Tivoli A/S,TIV,DKK,DK0060726743,Consumer Services,5700,
65,TORM A,TRMD A,DKK,GB00BZ3CNK81,Industrials,2700,
66,United Int. Enterprises,UIE,DKK,BSP951331318,Consumer Goods,3500,
67,Vestjysk Bank,VJBA,DKK,DK0010304500,Financials,8300,
68,Zealand Pharma,ZEAL,DKK,DK0060257814,Health Care,4500,
69,AaB,AAB,DKK,DK0060868966,Consumer Services,5700,
