,Name,Symbol,Currency,ISIN,Sector,ICB Code,CVR
0,ALK-Abelló B,ALK-B.CO,DKK,DK0060027142,Health Care,4500,63717916
1,Alm. Brand,ALMB.CO,DKK,DK0015250344,Financials,8500,24233359
2,Ambu,AMBU-B.CO,DKK,DK0060946788,Health Care,4500,63644919
3,Carlsberg A,CARL-A.CO,DKK,DK0010181676,Consumer Goods,3500,61056416
4,Carlsberg B,CARL-B.CO,DKK,DK0010181759,Consumer Goods,3500,25508343
5,Chr. Hansen Holding,CHR.CO,DKK,DK0060227585,Health Care,4500,28318677
6,Coloplast B,COLO-B.CO,DKK,DK0060448595,Health Care,4500,69749917
7,Danske Bank,DANSKE.CO,DKK,DK0010274414,Financials,8300,61126228
8,Demant,DEMANT.CO,DKK,DK0060738599,Health Care,4500,71186911
9,DFDS,DFDS.CO,DKK,DK0060655629,Industrials,2700,14194711
10,Drilling Company of 1972,DRLCO.CO,DKK,DK0061135753,Oil & Gas,0500,40404716
11,DSV Panalpina,DSV.CO,DKK,DK0060079531,Industrials,2700,58233528
12,FLSmidth & Co.,FLS.CO,DKK,DK0010234467,Industrials,2300,58180912
13,G4S plc,G4S.CO,DKK,GB00B01FLG62,Industrials,2700,76800014
14,Genmab,GMAB.CO,DKK,DK0010272202,Health Care,4500,21023884
15,GN Store Nord,GN.CO,DKK,DK0010272632,Health Care,4500,24257843
16,ISS,ISS.CO,DKK,DK0060542181,Industrials,2700,28504799
17,Jeudan,JDAN.CO,DKK,DK0061282464,Financials,8600,14246045
18,Jyske Bank,JYSK.CO,DKK,DK0010307958,Financials,8300,17616617
19,Københavns Lufthavne,KBHL.CO,DKK,DK0010201102,Industrials,2700,14707204
20,Lundbeck,LUN.CO,DKK,DK0010287234,Health Care,4500,56759913
21,A.P. Møller - Mærsk A,MAERSK-A.CO,DKK,DK0010244425,Industrials,2700,22756214
22,A.P. Møller - Mærsk B,MAERSK-B.CO,DKK,DK0010244508,Industrials,2700,22756214
23,Nordea Bank Abp,NDA-DK.CO,DKK,FI4000297767,Financials,8300,31843219
24,Netcompany Group,NETC.CO,DKK,DK0060952919,Technology,9500,39488914
25,Novo Nordisk B,NOVO-B.CO,DKK,DK0060534915,Health Care,4500,24256790
26,Novozymes B,NZYM-B.CO,DKK,DK0060336014,Health Care,4500,10007127
